sounding,FW 2 STRBD|-1,FW 2 STRBD|0,FW 2 STRBD|1,FW 2 STRBD|2,FW 2 STRBD|3,FW 2 STRBD|4,FW 2 STRBD|5,FW 2 STRBD|6,FW 2 PORT|-1,FW 2 PORT|0,FW 2 PORT|1,FW 2 PORT|2,FW 2 PORT|3,FW 2 PORT|4,FW 2 PORT|5,FW 2 PORT|6,FW CENTER|-1,FW CENTER|0,FW CENTER|1,FW CENTER|2,FW CENTER|3,FW CENTER|4,FW CENTER|5,FW CENTER|6,FW 1 STRBD|-1,FW 1 STRBD|0,FW 1 STRBD|1,FW 1 STRBD|2,FW 1 STRBD|3,FW 1 STRBD|4,FW 1 STRBD|5,FW 1 STRBD|6,FW 1 PORT|-1,FW 1 PORT|0,FW 1 PORT|1,FW 1 PORT|2,FW 1 PORT|3,FW 1 PORT|4,FW 1 PORT|5,FW 1 PORT|6,DRINKING WATER STRB|-1,DRINKING WATER STRB|0,DRINKING WATER STRB|1,DRINKING WATER STRB|2,DRINKING WATER STRB|3,DRINKING WATER STRB|4,DRINKING WATER STRB|5,DRINKING WATER STRB|6,DRINKING WATER PORT|-1,DRINKING WATER PORT|0,DRINKING WATER PORT|1,DRINKING WATER PORT|2,DRINKING WATER PORT|3,DRINKING WATER PORT|4,DRINKING WATER PORT|5,DRINKING WATER PORT|6
0.00,1.323,1.384,1.413,1.443,1.472,1.503,1.533,1.583,1.299,1.281,1.273,1.264,1.256,1.247,1.239,1.230,0.991,0.945,0.922,0.900,0.879,0.858,0.837,0.817,0.082,0.090,0.094,0.097,0.101,0.105,0.109,0.113,0.123,0.130,0.134,0.138,0.142,0.146,0.150,0.154,0.849,0.842,0.838,0.835,0.831,0.828,0.824,0.821,0.954,0.945,0.940,0.935,0.931,0.926,0.921,0.916
0.01,1.382,1.441,1.470,1.500,1.531,1.561,1.592,1.623,1.355,1.337,1.329,1.320,1.311,1.303,1.294,1.286,1.045,0.998,0.975,0.953,0.931,0.909,0.888,0.868,0.097,0.105,0.108,0.112,0.116,0.120,0.124,0.128,0.137,0.145,0.149,0.153,0.157,0.161,0.165,0.169,0.881,0.874,0.870,0.867,0.863,0.860,0.856,0.853,0.987,0.977,0.973,0.968,0.963,0.958,0.954,0.949
0.02,1.434,1.493,1.523,1.554,1.584,1.615,1.646,1.678,1.406,1.389,1.380,1.371,1.363,1.354,1.346,1.337,1.095,1.048,1.025,1.002,0.980,0.958,0.937,0.917,0.110,0.118,0.122,0.126,0.130,0.133,0.137,0.141,0.151,0.159,0.163,0.167,0.171,0.175,0.179,0.183,0.911,0.903,0.900,0.896,0.893,0.889,0.885,0.882,1.017,1.007,1.003,0.998,0.993,0.988,0.983,0.979
0.03,1.486,1.546,1.577,1.607,1.638,1.669,1.701,1.733,1.458,1.441,1.432,1.423,1.415,1.406,1.397,1.389,1.148,1.100,1.076,1.054,1.031,1.009,0.988,0.967,0.124,0.132,0.135,0.139,0.143,0.147,0.151,0.155,0.165,0.173,0.177,0.181,0.185,0.189,0.193,0.197,0.940,0.933,0.929,0.926,0.922,0.918,0.915,0.911,1.047,1.037,1.033,1.028,1.023,1.018,1.013,1.009
0.04,1.539,1.600,1.630,1.661,1.693,1.724,1.756,1.788,1.511,1.493,1.484,1.476,1.467,1.458,1.450,1.441,1.202,1.153,1.130,1.107,1.084,1.062,1.041,1.020,0.137,0.145,0.149,0.153,0.157,0.161,0.165,0.169,0.179,0.187,0.191,0.195,0.199,0.203,0.207,0.211,0.970,0.962,0.959,0.955,0.952,0.948,0.944,0.941,1.077,1.068,1.063,1.058,1.053,1.048,1.044,1.039
0.05,1.592,1.654,1.685,1.716,1.748,1.780,1.812,1.845,1.564,1.546,1.537,1.529,1.520,1.511,1.503,1.494,1.258,1.209,1.185,1.162,1.139,1.117,1.095,1.074,0.151,0.159,0.163,0.167,0.171,0.175,0.179,0.183,0.193,0.201,0.205,0.209,0.213,0.217,0.221,0.226,1.000,0.992,0.989,0.985,0.981,0.978,0.974,0.971,1.108,1.098,1.093,1.088,1.084,1.079,1.074,1.069
0.06,1.646,1.708,1.740,1.771,1.803,1.836,1.868,1.901,1.618,1.600,1.591,1.582,1.573,1.564,1.556,1.547,1.315,1.262,1.242,1.219,1.196,1.173,1.151,1.130,0.165,0.173,0.177,0.181,0.185,0.189,0.193,0.197,0.207,0.215,0.219,0.223,0.227,0.232,0.236,0.240,1.030,1.022,1.019,1.015,1.011,1.008,1.004,1.001,1.139,1.129,1.124,1.119,1.114,1.109,1.104,1.100
0.07,1.700,1.763,1.795,1.827,1.859,1.892,1.925,1.958,1.672,1.654,1.645,1.636,1.627,1.618,1.610,1.601,1.375,1.325,1.301,1.277,1.254,1.232,1.210,1.188,0.179,0.187,0.191,0.195,0.199,0.203,0.207,0.211,0.221,0.229,0.233,0.238,0.242,0.246,0.250,0.255,1.060,1.052,1.049,1.045,1.041,1.038,1.034,1.030,1.169,1.160,1.155,1.150,1.145,1.140,1.135,1.130
0.08,1.755,1.819,1.851,1.883,1.916,1.949,1.982,2.016,1.726,1.708,1.699,1.690,1.681,1.673,1.664,1.655,1.436,1.386,1.362,1.338,1.315,1.292,1.270,1.248,0.193,0.201,0.205,0.209,0.213,0.217,0.221,0.226,0.235,0.244,0.248,0.252,0.256,0.261,0.265,0.269,1.090,1.083,1.079,1.075,1.072,1.068,1.064,1.061,1.200,1.190,1.186,1.181,1.176,1.171,1.166,1.161
0.09,1.811,1.875,1.907,1.940,1.973,2.006,2.040,2.074,1.781,1.763,1.754,1.745,1.736,1.728,1.719,1.710,1.500,1.449,1.424,1.400,1.377,1.354,1.374,1.309,0.207,0.215,0.219,0.223,0.227,0.232,0.236,0.240,0.250,0.258,0.262,0.267,0.271,0.275,0.280,0.284,1.121,1.113,1.110,1.106,1.102,1.099,1.095,1.091,1.232,1.222,1.217,1.212,1.207,1.202,1.197,1.192
