draft_m,displacement_t,lcf_m_ap,mct_tm_cm,tpc_t_cm
2.0,3658.25,68.254,129.42,20.41
2.01,3678.54,68.255,129.57,20.42
2.02,3698.86,68.257,129.71,20.43
2.03,3719.18,68.259,129.86,20.44
2.04,3739.51,68.261,130.0,20.45
2.05,3759.85,68.262,130.15,20.46
2.06,3780.21,68.264,130.29,20.48
2.07,3800.58,68.266,130.44,20.49
2.08,3820.97,68.269,130.58,20.5
2.09,3841.36,68.271,130.73,20.51
2.1,3861.78,68.274,130.88,20.52
2.11,3882.18,68.276,131.03,20.53
2.12,3902.62,68.279,131.17,20.55
2.13,3923.06,68.281,131.32,20.56
2.14,3943.51,68.284,131.46,20.57
2.15,3963.98,68.286,131.61,20.58
2.16,3984.46,68.289,131.75,20.59
2.17,4004.95,68.292,131.89,20.6
2.18,4025.45,68.294,132.04,20.61
2.19,4045.96,68.297,132.18,20.63
2.2,4066.68,68.3,132.32,20.64
2.21,4087.02,68.304,132.47,20.65
2.22,4107.58,68.307,132.61,20.66
2.23,4128.13,68.311,132.76,20.67
2.24,4148.68,68.314,132.91,20.68
2.25,4169.28,68.318,133.05,20.69
2.26,4189.87,68.322,133.2,20.7
2.27,4210.47,68.326,133.34,20.71
2.28,4231.08,68.329,133.48,20.72
2.29,4251.71,68.333,133.63,20.73
2.3,4272.34,68.337,133.77,20.74
2.31,4292.98,68.34100000000001,133.91,20.75
2.32,4313.63,68.345,134.06,20.76
2.33,4334.3,68.35,134.21,20.77
2.34,4354.96,68.355,134.36,20.78
2.35,4375.66,68.36,134.51,20.79
2.36,4396.35,68.365,134.66,20.8
2.37,4417.06,68.37,134.81,20.81
2.38,4437.78,68.375,134.96,20.82
2.39,4458.5,68.38,135.11,20.83
2.4,4479.24,68.385,135.26,20.84
2.41,4499.99,68.391,135.41,20.85
2.42,4520.75,68.398,135.57,20.86
2.43,4541.52,68.405,135.73,20.87
2.44,4562.31,68.412,135.9,20.88
2.45,4583.09,68.42,136.06,20.89
2.46,4603.9,68.427,136.22,20.9
2.47,4624.7,68.435,136.38,20.91
2.48,4645.53,68.443,136.55,20.92
2.49,4666.37,68.454,136.74,20.93
2.5,4687.22,68.466,136.94,20.95
2.51,4708.08,68.477,137.13,20.96
2.52,4728.94,68.489,137.33,20.97
2.53,4749.85,68.517,137.67,20.99
2.54,4770.76,68.538,137.94,21.0
2.55,4791.68,68.54,138.05,21.01
2.56,4812.6,68.542,138.16,21.02
2.57,4833.54,68.544,138.27,21.03
2.58,4854.47,68.546,138.38,21.04
2.59,4875.42,68.548,138.49,21.04
2.6,4896.37,68.551,138.6,21.05
2.61,4917.34,68.553,138.71,21.06
2.62,4938.31,68.555,138.82,21.07
2.63,4959.29,68.557,138.92,21.08
2.64,4980.28,68.559,139.03,21.08
2.65,5001.28,68.562,139.14,21.09
2.66,5022.28,68.564,139.24,21.1
2.67,5043.29,68.566,139.35,21.11
2.68,5064.31,68.568,139.45,21.12
2.69,5085.35,68.57,139.56,21.12
2.7,5106.39,68.573,139.66,21.13
2.71,5127.43,68.575,139.77,21.14
2.72,5148.49,68.577,139.87,21.15
2.73,5169.55,68.579,139.98,21.15
2.74,5190.62,68.582,140.08,21.16
2.75,5211.7,68.584,140.18,21.17
2.76,523279.0,68.586,140.29,21.18
2.77,5253.87,68.588,140.39,21.18
2.78,5274.98,68.591,140.49,21.19
2.79,5296.09,68.593,140.59,21.2
2.8,5317.22,68.595,140.69,21.21
2.81,5338.34,68.598,140.79,21.21
2.82,5359.47,68.6,140.89,21.22
2.83,5380.61,68.602,140.99,21.23
2.84,5401.75,68.605,141.09,21.24
2.85,5422.91,68.607,141.19,21.24
2.9,5528.8,68.62,141.67,21.28
2.95,5634.88,68.634,142.13,21.31
3.0,5741.13,68.647,142.59,21.35
3.05,5847.55,68.661,143.04,21.38
3.1,5954.14,68.675,143.48,21.41
3.15,6060.9,68.69,143.9,21.44
3.2,6167.81,68.705,144.32,21.47
3.25,6274.9,68.72,144.72,21.5
3.3,6382.12,68.734,145.13,21.53
3.35,6489.51,68.749,145.52,21.56
3.4,6597.04,68.762,145.92,21.59
3.45,6704.73,68.775,146.32,21.62
3.5,6812.57,68.787,146.71,21.65
3.55,6920.57,68.798,147.11,21.68
3.6,7028.7,68.809,147.5,21.71
3.65,7136.98,68.818,147.89,21.74
3.7,7245.41,68.827,148.29,21.77
3.75,7353.99,68.835,148.69,21.79
3.8,7462.7,68.841,149.09,21.82
3.81,7484.47,68.842,149.17,21.83
3.82,7506.23,68.844,149.25,21.83
3.83,7528.0,68.845,149.33,21.84
3.84,7549.78,68.846,149.41,21.84
3.85,7571.55,68.847,149.49,21.85
3.86,7593.34,68.848,149.57,21.85
3.87,7615.14,68.849,149.65,21.86
3.88,7636.95,68.85,149.73,21.87
3.89,7658.75,68.851,149.81,21.87
3.9,7680.57,68.852,149.89,21.88
3.91,7702.37,68.852,149.97,21.88
3.92,7724.2,68.853,150.05,21.89
3.93,7746.03,68.854,150.13,21.89
3.94,7767.86,68.855,150.21,21.9
3.95,7789.7,68.855,150.29,21.9
3.96,7811.54,68.856,150.37,21.91
3.97,7833.4,68.857,150.45,21.92
3.98,7855.25,68.857,150.53,21.92
3.99,7877.12,68.858,150.61,21.93
4.0,7898.98,68.858,150.69,21.93
4.01,7920.86,68.859,150.77,21.94
4.02,7942.74,68.859,150.86,21.94
4.03,7964.63,68.86,150.94,21.95
4.04,7986.51,68.86,151.02,21.95
4.05,8008.41,68.86,151.1,21.96
4.06,8030.3,68.861,151.18,21.96
4.07,8052.21,68.861,151.26,21.97
4.08,8074.12,68.861,151.34,21.98
4.09,8096.04,68.861,151.42,21.98
4.1,8117.96,68.862,151.5,21.99
4.11,8139.9,68.862,151.58,21.99
4.12,8161.83,68.862,151.66,22.0
4.13,8183.77,68.862,151.75,22.0
4.14,8205.72,68.862,151.83,22.01
4.15,8227.67,68.862,151.91,22.01
4.16,8249.63,68.861,151.99,22.02
4.17,8271.59,68.861,152.07,22.02
4.18,8293.56,68.861,152.15,22.03
4.19,8315.53,68.861,152.24,22.04
4.2,8337.51,68.861,152.32,22.04
4.21,8359.49,68.861,152.4,22.05
4.22,8381.48,68.86,152.48,22.05
4.23,8403.48,68.86,152.56,22.06
4.24,8425.48,68.859,152.64,22.06
4.25,8447.49,68.859,152.73,22.07
4.26,8469.5,68.858,152.81,22.07
4.27,8491.53,68.858,152.89,22.08
4.28,8513.54,68.857,152.97,22.08
4.29,8535.57,68.857,153.05,22.09
